Quote,Author
Alcohol gives you infinite patience for stupidity.,"Sammy Davis, Jr."
"We learned about gratitude and humility - that so many people had a hand in our success, from the teachers who inspired us to the janitors who kept our school clean... and we were taught to value everyone's contribution and treat everyone with respect.",Michelle Obama
To be prepared for war is one of the most effective means of preserving peace.,George Washington
"I like the religion that teaches liberty, equality and fraternity.",B. R. Ambedkar
The sky broke like an egg into full sunset and the water caught fire.,Pamela Hansford Johnson
The first lesson of economics is scarcity: there is never enough of anything to fully satisfy all those who want it. The first lesson of politics is to disregard the first lesson of economics.,Thomas Sowell
Information technology and business are becoming inextricably interwoven. I don't think anybody can talk meaningfully about one without the talking about the other.,Bill Gates
"I don't know if this is too weird to say, but this is completely surreal for me. Bizarre. The cover of 'Teen Vogue' has been on my bucket list forever.",Lily Collins
"Unable are the loved to die, for love is immortality.",Emily Dickinson
A good teacher must be able to put himself in the place of those who find learning hard.,Eliphas Levi
"I love those who can smile in trouble, who can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but they whose heart is firm, and whose conscience approves their conduct, will pursue their principles unto death.",Leonardo da Vinci
"For success, attitude is equally as important as ability.",Walter Scott
There is no charm equal to tenderness of heart.,Jane Austen
A teardrop on earth summons the King of heaven.,Charles R. Swindoll
"Above all else, deep in my soul, I'm a tough Irishwoman.",Maureen O'Hara
"Everything is theoretically impossible, until it is done.",Robert A. Heinlein
I never get tired of smiling. I'm just the kind of guy who likes to smile.,Jason Ritter
I think the first duty of society is justice.,Alexander Hamilton
"Everything is a learning lesson, good and bad, so I am happy with the way things are, and I learned from everything negative. I am in a great space now, so I wouldn't change a thing!",Karen Civil
Champions keep playing until they get it right.,Billie Jean King
"If you want an interesting party sometime, combine cocktails and a fresh box of crayons for everyone.",Robert Fulghum
"Did I offer peace today? Did I bring a smile to someone's face? Did I say words of healing? Did I let go of my anger and resentment? Did I forgive? Did I love? These are the real questions. I must trust that the little bit of love that I sow now will bear many fruits, here in this world and the life to come.",Henri Nouwen
"Truth is, I'll never know all there is to know about you just as you will never know all there is to know about me. Humans are by nature too complicated to be understood fully. So, we can choose either to approach our fellow human beings with suspicion or to approach them with an open mind, a dash of optimism and a great deal of candour.",Tom Hanks
"There is a sacredness in tears. They are not the mark of weakness, but of power. They speak more eloquently than ten thousand tongues. They are the messengers of overwhelming grief, of deep contrition, and of unspeakable love.",Washington Irving
Don't sweat the petty things and don't pet the sweaty things.,George Carlin
